"year","N","n","mu_all_kg","var_all_kg","se_all_kg","mu_lrg_kg","var_tau_lrg_kg","se_lrg_kg"
2016,179,72,1.17055865921788,1.46841092210156,0.0905726944097084,0.845684612480398,18.2661281075412,0.0238764754637265
2017,180,70,1.57522222222222,1.92652006207325,0.103454769023667,0.809697783024109,57.9423754005572,0.0422888273633862
