year,stations,size ,cpue,se
2016,new,all,2.580637031,0.199678374
2016,new,lrg,1.86441321,0.052638555
2017,new,all,3.472766416,0.228078453
2017,new,lrg,1.785075926,0.093230795
2016,old,all,2.913331843,0.193925892
2016,old,lrg,2.085655711,0.058008598
2017,old,all,4.37734075,0.245498959
2017,old,lrg,2.059793918,0.120781193
