SiteNum,SiteName,StatArea,ShrimpArea,Comments
1,Unakwik,476036,1,
2,Golden,486034,2,
3,Culross,486031,2,
4,Herring Bay,476006,2,
5,Junction I,476006,3,Except W which is in 486005
6,Green I,476007,3,
7,Chenega,486005,3,
8,Prince Of Wales ,486001,3,"Except C,Z,and O, which are in 476004"
9,Long Bay,476035,1,
10,Bald Head Chris,476033,1,
11,Valdez,466100,na,
