YEAR,EVENT_ID,SITE_ID,STATION,POT_ID,SAMPLE_POT,all_Cnt_cc,all_Kg_cc,lrg_Cnt,lrg_Kg
1992,1992P04010,3,B,11,Sample,10,0.135,2,0.057945
1992,1992P04010,3,B,2,Sample,25,0.566,13,0.372067
1992,1992P04010,3,B,3,Sample,9,0.195,4,0.13916
1992,1992P04010,3,B,4,Sample,15,0.256,5,0.139978
1992,1992P04010,3,B,5,Sample,39,0.602,9,0.236117
1992,1992P04010,3,B,6,Sample,26,0.528,12,0.350694
1992,1992P04010,3,B,7,Sample,26,0.329,3,0.080122
1992,1992P04010,3,B,8,Sample,50,0.786,13,0.353393
1992,1992P04010,3,B,9,Sample,34,0.608,11,0.335044
1992,1992P04011,3,C,1,Sample,7,0.144,5,0.125385
1992,1992P04011,3,C,10,Sample,12,0.239,7,0.170445
1992,1992P04011,3,C,11,Sample,0,0,0,0
1992,1992P04011,3,C,2,Sample,3,0.052,2,0.044396
1992,1992P04011,3,C,3,Sample,0,0,0,0
1992,1992P04011,3,C,4,Sample,6,0.122,2,0.084897
1992,1992P04011,3,C,5,Sample,7,0.119,2,0.042446
1992,1992P04011,3,C,6,Sample,6,0.131,5,0.123496
1992,1992P04011,3,C,7,Sample,17,0.29,4,0.096931
1992,1992P04011,3,C,8,Sample,28,0.492,14,0.356952
1992,1992P04011,3,C,9,Sample,3,0.06,2,0.050536
1992,1992P04012,3,D,1,Sample,6,0.146,5,0.127256
1992,1992P04012,3,D,10,Sample,1,0.021,1,0.021
1992,1992P04012,3,D,11,Sample,13,0.277,9,0.243658
1992,1992P04012,3,D,2,Sample,8,0.259,6,0.225387
1992,1992P04012,3,D,3,Sample,0,0,0,0
1992,1992P04012,3,D,5,Sample,48,0.852,16,0.431229
1992,1992P04012,3,D,6,Sample,6,0.099,0,0
1992,1992P04012,3,D,7,Sample,10,0.154,3,0.078849
1992,1992P04012,3,D,8,Sample,3,0.043,0,0
1992,1992P04012,3,D,9,Sample,8,0.065,0,0
1992,1992P04013,4,A,1,Sample,1,0.021,1,0.021
1992,1992P04013,4,A,10,Sample,22,0.549,13,0.442266
1992,1992P04013,4,A,11,Sample,10,0.25,8,0.227639
1992,1992P04013,4,A,2,Sample,16,0.313,6,0.157402
1992,1992P04013,4,A,3,Sample,34,0.814,18,0.584019
1992,1992P04013,4,A,4,Sample,18,0.443,10,0.325606
1992,1992P04013,4,A,5,Sample,12,0.314,6,0.210445
1992,1992P04013,4,A,6,Sample,2,0.03,0,0
1992,1992P04013,4,A,7,Sample,19,0.472,10,0.332237
1992,1992P04013,4,A,8,Sample,13,0.254,6,0.159801
1992,1992P04013,4,A,9,Sample,14,0.311,7,0.19943
1992,1992P04014,4,B,1,Sample,16,0.295,5,0.143244
1992,1992P04014,4,B,10,Sample,20,0.398,12,0.296678
1992,1992P04014,4,B,11,Sample,11,0.2,4,0.122118
